,loss,dice_coef,val_loss,val_dice_coef
0,0.16880661249160767,0.0006950446986593306,0.07318073511123657,0.0007768376381136477
1,0.03291517123579979,0.00207876181229949,0.01939799264073372,0.0019795773550868034
2,0.012981842271983624,0.010244571603834629,0.00898594968020916,0.01245894469320774
3,0.006872897036373615,0.022165348753333092,0.005164931062608957,0.027751434594392776
4,0.00424340320751071,0.03894960507750511,0.0033049611374735832,0.04663878306746483
5,0.002874471712857485,0.06287708133459091,0.002281737979501486,0.07605654001235962
6,0.002072789240628481,0.09306991845369339,0.0017090466571971774,0.11268305033445358
7,0.001557623501867056,0.1270998865365982,0.001305384561419487,0.14420247077941895
8,0.0012123060878366232,0.16222597658634186,0.0010304159950464964,0.18132010102272034
9,0.000968571868725121,0.20111936330795288,0.0008573936647735536,0.21852585673332214
10,0.0007893689326010644,0.23792292177677155,0.0007051384309306741,0.2575974762439728
11,0.0006612713914364576,0.2765669822692871,0.0006009367061778903,0.28908514976501465
12,0.0005563380545936525,0.31508153676986694,0.000490620150230825,0.3445552587509155
13,0.0004824954958166927,0.35157933831214905,0.00044935333426110446,0.35673490166664124
14,0.00041674685780890286,0.390610009431839,0.000376778218196705,0.41009587049484253
15,0.0003689363948069513,0.42686814069747925,0.0003328231687191874,0.45600399374961853
16,0.0003254550392739475,0.46283337473869324,0.0002884888381231576,0.4917556047439575
17,0.0002955682866740972,0.49520954489707947,0.00026347546372562647,0.5192663073539734
18,0.00027370042516849935,0.5247788429260254,0.00023908617731649429,0.5455496311187744
19,0.0002450992469675839,0.5582503080368042,0.00022708236065227538,0.5845480561256409
20,0.00022549726418219507,0.5867125988006592,0.00019263305875938386,0.6148378849029541
21,0.00020990800112485886,0.6113833785057068,0.0001856494345702231,0.6294825673103333
22,0.00020123911963310093,0.633667528629303,0.0002044562716037035,0.6321432590484619
23,0.00018613172869663686,0.6564738154411316,0.00016709044575691223,0.6874380707740784
24,0.00017650391964707524,0.6748338341712952,0.0001726376940496266,0.6796880960464478
25,0.0001772273681126535,0.6859971284866333,0.00015794670616742224,0.6870450377464294
26,0.0001654123916523531,0.706907331943512,0.0001565052953083068,0.7174268960952759
27,0.0001620035181986168,0.7192233204841614,0.00014441515668295324,0.735657811164856
28,0.0001528343855170533,0.7350316643714905,0.00013822905020788312,0.7508186101913452
29,0.00014563390868715942,0.7512625455856323,0.00018530900706537068,0.7474953532218933
30,0.0001413973222952336,0.7602887153625488,0.00013078092888463289,0.7790046334266663
31,0.0001374837738694623,0.7726905345916748,0.00012017189874313772,0.7942397594451904
32,0.00013080706412438303,0.7843213677406311,0.00012352886551525444,0.802026629447937
33,0.000131520107970573,0.7902822494506836,0.00013072692672722042,0.7956476807594299
34,0.00012672531011048704,0.7987222075462341,0.0001438096078345552,0.7854751944541931
35,0.0001262047589989379,0.8044764995574951,0.00012103265180485323,0.8157044649124146
36,0.00012375129153952003,0.8098531365394592,0.00013778908760286868,0.7981661558151245
